0;6,0;GENUA;GENUA;GENUA;ORIGINAL; ; ; ;500,0;400,0;0;0;500;400;6,0;6,0;494,0;394,0;
1;6,0;GENUA;GENUA;GENUA;ORIGINAL; ; ; ;500,0;400,0;500;0;1000;400;506,0;6,0;994,0;394,0;
2;6,0;GENUA;GENUA;GENUA;ORIGINAL; ; ; ;500,0;400,0;0;400;500;800;6,0;406,0;494,0;794,0;
3;6,0;GENUA;GENUA;GENUA;ORIGINAL; ; ; ;500,0;400,0;0;800;500;1200;6,0;806,0;494,0;1194,0;
4;6,0;GENUA;GENUA;GENUA;ORIGINAL; ; ; ;500,0;400,0;500;400;1000;800;506,0;406,0;994,0;794,0;
5;6,0;GENUA;GENUA;GENUA;ORIGINAL; ; ; ;500,0;400,0;1000;0;1500;400;1006,0;6,0;1494,0;394,0;
6;6,0;GENUA;GENUA;GENUA;ORIGINAL; ; ; ;500,0;400,0;1000;400;1500;800;1006,0;406,0;1494,0;794,0;
7;6,0;GENUA;GENUA;GENUA;ORIGINAL; ; ; ;500,0;400,0;500;800;1000;1200;506,0;806,0;994,0;1194,0;
8;6,0;GENUA;GENUA;GENUA;ORIGINAL; ; ; ;500,0;400,0;0;1200;500;1600;6,0;1206,0;494,0;1594,0;
9;6,0;GENUA;GENUA;GENUA;ORIGINAL; ; ; ;500,0;400,0;0;1600;500;2000;6,0;1606,0;494,0;1994,0;
